State,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,Personal income (millions of dollars),7086935,7601594,8001563,8650325,9001839,9155663,9480901,10028781,10593946,11372589,12002204,12438527,12051307,12541995,13315478,13998383,14175503,14982715,15717140,16151881,16937582,17839255,18542262
United States,Population (persons) 1/,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
United States,Per capita personal income (dollars) 2/,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40547,42739,44605,44860,47071,49019,50015,52118,54606,56490
United States,Personal consumption expenditures (USD/Capita),20297,21294,22490,23952,24781,25513,26602,28028,29579,31013,32198,32780,32053,32902,34123,35044,35789,37118,38330,39520,41027,42802,44276
United States,Goods (USD/Capita),7349,7632,8183,8681,8849,9020,9365,9891,10412,10836,11153,11033,10336,10699,11261,11563,11778,12111,12212,12359,12816,13350,13712
United States,Durable goods (USD/Capita),2624,2825,3066,3234,3303,3425,3508,3690,3819,3882,3943,3613,3299,3391,3509,3645,3764,3902,4078,4181,4340,4535,4674
United States,Motor vehicles and parts (USD/Capita),1074,1160,1256,1287,1345,1395,1384,1397,1387,1323,1329,1129,1038,1113,1172,1263,1321,1388,1482,1503,1549,1601,1589
United States,Furnishings and durable household equipment (USD/Capita),588,629,685,737,754,785,810,868,917,950,940,869,776,778,792,809,834,867,917,957,999,1050,1088
United States,Recreational goods and vehicles (USD/Capita),640,693,755,818,824,851,894,972,1036,1093,1126,1078,969,965,980,993,1017,1036,1049,1088,1151,1221,1320
United States,Other durable goods (USD/Capita),320,341,368,391,380,394,419,451,477,514,547,536,514,533,565,579,590,609,628,631,640,661,675
United States,Nondurable goods (USD/Capita),4725,4807,5117,5447,5545,5594,5857,6200,6593,6953,7209,7420,7037,7307,7751,7917,8014,8208,8134,8178,8476,8815,9037
United States,Food and beverages purchased for off-premises consumption (USD/Capita),1741,1767,1847,1915,1979,1999,2066,2160,2261,2346,2447,2529,2519,2543,2630,2696,2734,2817,2872,2910,2985,3057,3124
United States,Clothing and footwear (USD/Capita),907,934,971,995,975,969,983,1015,1050,1072,1073,1043,991,1023,1067,1100,1109,1133,1150,1165,1169,1206,1229
United States,Gasoline and other energy goods (USD/Capita),541,479,525,653,624,583,677,794,960,1071,1147,1286,935,1088,1328,1344,1323,1267,965,851,950,1069,1021
United States,Other nondurable goods (USD/Capita),1534,1626,1773,1882,1966,2042,2130,2229,2320,2463,2540,2561,2591,2651,2725,2776,2847,2990,3146,3250,3370,3482,3661
United States,Services (USD/Capita),12948,13662,14306,15271,15931,16493,17236,18137,19167,20177,21044,21746,21717,22203,22862,23481,24010,25007,26118,27161,28210,29451,30564
United States,Household consumption expenditures (for services) (USD/Capita),12560,13213,13810,14711,15303,15803,16528,17432,18455,19376,20219,20802,20774,21251,21861,22392,22894,23858,24959,25920,26928,28108,29226
United States,Housing and utilities (USD/Capita),3703,3862,4024,4247,4518,4636,4805,5017,5358,5638,5836,6035,6120,6155,6277,6361,6504,6754,7041,7303,7568,7867,8168
United States,Health care (USD/Capita),2900,3016,3094,3254,3497,3764,3978,4231,4468,4664,4907,5114,5322,5494,5639,5803,5880,6096,6416,6704,6918,7178,7466
United States,Transportation services (USD/Capita),776,816,864,925,911,875,894,926,960,995,1020,1028,969,986,1053,1086,1139,1203,1243,1298,1354,1428,1472
United States,Recreation services (USD/Capita),764,798,853,901,920,943,995,1063,1110,1177,1246,1279,1266,1305,1312,1372,1414,1465,1533,1604,1657,1719,1768
United States,Food services and accommodations (USD/Capita),1259,1311,1362,1448,1472,1516,1594,1701,1805,1912,1996,2039,1997,2055,2148,2246,2317,2440,2597,2704,2811,2942,3045
United States,Financial services and insurance (USD/Capita),1499,1617,1743,1924,1844,1859,1931,2068,2230,2329,2447,2488,2318,2438,2561,2613,2716,2852,2985,3046,3238,3426,3582
United States,Other services (USD/Capita),1655,1791,1866,2007,2138,2206,2327,2424,2521,2658,2763,2816,2780,2816,2867,2909,2922,3044,3141,3259,3380,3545,3722
United States,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),387,448,495,560,628,689,708,704,711,801,825,944,942,951,1000,1088,1115,1148,1158,1240,1282,1343,1337
United States,Gross output of nonprofit institutions (USD/Capita),1843,1966,2065,2203,2373,2562,2670,2797,2938,3124,3263,3444,3547,3648,3766,3940,4024,4154,4314,4540,4687,4888,5051
United States,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1456,1517,1569,1643,1745,1872,1961,2092,2227,2322,2437,2499,2604,2696,2765,2851,2908,3005,3155,3299,3405,3545,3713
Alabama,Personal income (millions of dollars),93981,99953,103453,108355,112154,115191,120211,128739,136327,145175,152327,157366,155145,161516,167942,172804,174415,180457,188711,192281,199999,208752,216449
Alabama,Population (persons) 1/,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
Alabama,Per capita personal income (dollars) 2/,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34995,35884,36110,37271,38891,39536,41030,42710,44145
Alabama,Personal consumption expenditures (USD/Capita),17019,17696,18638,19559,20217,21173,22064,23267,24784,25692,26574,27054,26587,27339,28174,28817,29342,30259,31077,31941,33057,34331,35490
Alabama,Goods (USD/Capita),6935,7109,7587,7892,8104,8461,8839,9412,10003,10368,10735,10633,10072,10426,10900,11144,11274,11528,11626,11700,12073,12546,12917
Alabama,Durable goods (USD/Capita),2312,2453,2639,2692,2746,2929,3006,3176,3314,3373,3518,3169,2918,3009,3119,3235,3328,3430,3559,3685,3828,3998,4118
Alabama,Motor vehicles and parts (USD/Capita),1119,1200,1303,1306,1353,1435,1432,1454,1471,1440,1442,1203,1083,1187,1255,1339,1383,1426,1512,1538,1574,1636,1631
Alabama,Furnishings and durable household equipment (USD/Capita),508,530,559,581,581,619,642,692,749,783,796,729,662,656,662,675,688,712,751,799,838,882,913
Alabama,Recreational goods and vehicles (USD/Capita),436,457,484,499,509,548,601,674,721,753,849,814,757,735,748,760,784,801,794,847,915,967,1051
Alabama,Other durable goods (USD/Capita),247,266,291,304,302,324,330,353,371,395,430,421,415,430,454,459,471,490,500,500,499,511,521
Alabama,Nondurable goods (USD/Capita),4623,4656,4948,5200,5358,5532,5833,6236,6688,6995,7217,7463,7153,7416,7781,7908,7945,8098,8067,8015,8245,8548,8798
Alabama,Food and beverages purchased for off-premises consumption (USD/Capita),1772,1783,1866,1869,1966,2017,2071,2134,2243,2215,2260,2334,2344,2352,2425,2457,2456,2521,2572,2609,2655,2743,2815
