state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,20408,18172,20200,20522,20809,22851,19046,21175,19462,19833,23984
Alaska,15153,18024,17830,21165,19215,19161,20256,17273,18622,19454,19865
Arizona,74524,61279,74987,75353,77716,81828,77347,74706,73568,85028,83540
Arkansas,19092,17820,15992,12817,18200,14661,16619,14882,12943,16473,13591
California,371425,365352,380879,393237,434841,449378,464283,456964,455955,478550,482036
Colorado,63362,52473,61878,67923,63408,61250,60491,60689,64230,66100,66817
Connecticut,19800,18756,21542,22416,20050,21704,17998,21293,22422,21662,21943
Delaware,4838,5081,4098,5273,4958,5653,4765,4395,5264,4939,4695
District of Columbia,10178,12435,13028,16845,19396,17684,19532,22478,28899,25812,25398
Florida,176184,168035,171793,183659,186694,197019,194433,193869,211425,226550,253189
Georgia,71350,73659,67347,64415,71180,73100,69385,79337,90702,88337,96979
Hawaii,20416,22237,21165,24202,28488,26198,23450,21606,22682,22824,19498
Idaho,18718,15403,16392,17778,16322,15188,14881,15834,16798,14767,13875
Illinois,98102,94390,95611,101926,92761,103575,106649,114410,111846,108248,116303
Indiana,34991,33381,39383,46770,49407,42452,41721,40330,47399,47568,44414
Iowa,18238,21943,20526,24972,24228,22180,24108,21321,22834,18849,18691
Kansas,24186,16518,16386,17357,20746,19149,19062,20933,19452,18483,14433
Kentucky,21009,17199,22533,20947,21580,26618,26050,29441,29764,24268,28600
Louisiana,36933,39174,41205,41281,45787,40649,37412,37006,39537,38444,37751
Maine,9581,9653,9358,11890,10257,11306,9264,8424,9828,11100,8400
Maryland,31442,30924,30684,35924,36016,39297,40779,45104,50387,50457,51149
Massachusetts,51401,44034,50637,55554,55351,64035,70521,77394,78485,78380,81179
Michigan,48949,43342,49881,54071,55932,58320,57121,54899,53981,61616,59201
Minnesota,40833,41279,42490,43798,45713,50447,49211,43089,47720,44587,49535
Mississippi,12778,14441,14711,14781,20290,20645,17812,20335,17712,16847,21765
Missouri,34593,32552,32857,37017,38906,36646,35958,33144,33113,35173,36407
Montana,12784,9636,11346,12219,13348,10066,12980,10726,11902,10920,11842
Nebraska,10022,10771,11659,13537,12328,11226,14929,14625,10891,10639,10459
Nevada,22185,23578,24072,25351,23956,31480,27901,23944,33230,34599,41940
New Hampshire,7682,7344,8666,8421,7651,9887,8663,9997,10225,10449,8625
New Jersey,79924,77653,68651,80794,83204,86421,74301,75903,78315,89063,88520
New Mexico,15898,13350,18381,15790,22291,18252,13753,15947,15399,13436,16242
New York,150159,161522,165588,170979,178810,168773,174245,181866,190867,199155,212662
North Carolina,46317,48188,59502,57223,58554,57192,58323,62022,59843,60290,72844
North Dakota,4336,5983,4935,3662,6224,3802,3043,5264,4925,4964,6042
Ohio,49005,48669,59111,61660,61236,57967,60779,65536,65889,67076,69189
Oklahoma,22492,22890,23304,25659,23022,24983,24222,24987,23750,24543,28006
Oregon,55973,53458,56256,59069,61602,66931,65990,63263,59977,63191,65628
Pennsylvania,74687,69723,75115,78584,86501,80673,79790,86769,89219,94147,100033
Puerto Rico,28270,22266,19744,20379,19169,21434,20288,18206,17889,17316,16228
Rhode Island,5770,7395,5445,9799,9107,7576,7158,5462,4793,6115,7316
South Carolina,29999,32629,31522,34382,32882,35038,30874,31727,31011,34651,36571
South Dakota,7049,6839,6259,8052,5774,5971,5800,5953,4569,4045,7199
Tennessee,29687,27381,26374,34614,35786,37437,38819,35185,35571,40055,45496
Texas,215128,205468,196031,202359,219143,221952,200494,196199,209639,206238,215544
Utah,25309,21496,23867,29521,27879,23550,27261,23624,25093,24843,24923
Vermont,5246,4325,5932,5495,5164,3884,5368,6374,5248,6779,4130
Virginia,51598,55664,53111,56471,70825,67253,69497,75866,76117,78956,83518
Washington,64270,65937,61317,68435,69049,73155,73972,72502,64272,77178,75506
West Virginia,7518,7597,4926,7068,8589,8301,10854,6859,7669,9238,9950
Wisconsin,46017,46463,43648,52534,47619,50479,50045,46678,45559,45404,44464
Wyoming,5273,5713,6570,6855,6719,6474,4878,3765,6566,6667,4837
