state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,1654802,1648706,1657419,1680837,1713067,1724178,1719972,1768180,1748949,1784690,1817479
Alaska,228145,230116,237947,235946,238572,249481,246577,250492,243466,241624,244725
Arizona,2087564,2005289,2009959,2088074,2100376,2178267,2234511,2289515,2362162,2417249,2478184
Arkansas,991390,1005284,1006040,1013982,1020341,1031366,1035546,1050898,1068253,1075012,1082408
California,11782282,11650145,11754858,12059924,12260080,12679198,13031320,13186177,13541563,13681331,13767903
Colorado,1832678,1832425,1869617,1889150,1923952,2027739,2095695,2107958,2161670,2220259,2234342
Connecticut,1346808,1360587,1336932,1358109,1353252,1379348,1391000,1387240,1391813,1396984,1406994
Delaware,332469,324776,336725,343732,340270,354350,359029,355814,353445,360283,374194
District of Columbia,106115,103239,101621,111088,106657,120528,120333,119642,129051,129349,127196
Florida,6255178,6286833,6370889,6473106,6652563,6886539,7075864,7221118,7423934,7596575,7703087
Georgia,3364553,3267029,3297650,3353644,3415734,3518258,3626672,3714350,3765494,3881953,3885708
Hawaii,432324,437687,436336,437154,454338,454798,475067,474495,475638,476117,486335
Idaho,523240,520863,521007,542709,549285,563872,566332,597208,612010,633347,657045
Illinois,4347350,4273034,4266676,4362024,4397667,4438464,4485040,4483475,4476740,4500138,4493385
Indiana,2386963,2385577,2410502,2435019,2469923,2520928,2545272,2586064,2577077,2631206,2634711
Iowa,1204228,1200762,1218429,1222653,1251333,1264875,1274961,1286536,1300546,1295893,1274662
Kansas,1111028,1116031,1127767,1140807,1144913,1140610,1168154,1168600,1179785,1176517,1197587
Kentucky,1487291,1482669,1505309,1526467,1545003,1538152,1559409,1582234,1597996,1618938,1617407
Louisiana,1604366,1578167,1593560,1622316,1639250,1634035,1667940,1657170,1657080,1650009,1662337
Maine,498059,504971,497407,485919,487205,493656,506801,511012,516861,518327,524381
Maryland,2084261,2079711,2091777,2135379,2180872,2187057,2214171,2247708,2257654,2279787,2271538
Massachusetts,2323118,2294910,2321683,2354944,2388532,2418818,2421011,2457107,2469684,2482764,2532334
Michigan,3416716,3370583,3383793,3459252,3521696,3585455,3659421,3700498,3760333,3784352,3812559
Minnesota,2072837,2072089,2087066,2135967,2174125,2184366,2235350,2232605,2269447,2270810,2296868
Mississippi,991127,974939,974358,984238,992657,1023357,1019853,1027773,1038393,1040672,1047757
Missouri,2228743,2212453,2202040,2223496,2265099,2264508,2333610,2340513,2367511,2377360,2392658
Montana,344607,347835,356849,353661,357127,364793,360669,377028,388996,385558,391949
Nebraska,739945,749921,756841,759340,777728,791009,798234,799206,814254,809453,818915
Nevada,952931,926694,936303,949121,977046,992409,1023007,1068116,1101151,1116771,1124622
New Hampshire,558066,544574,540862,554808,550292,558119,564577,562580,576670,576686,581204
New Jersey,2926129,2932983,2917047,2962771,3000397,3071511,3078089,3063948,3129181,3115777,3137002
New Mexico,672002,684583,684327,682940,685234,700770,713810,702110,688146,694145,733010
New York,4808215,4741315,4730231,4785225,4766202,4869602,4890301,4888039,5007277,4940096,4978442
North Carolina,3355251,3372823,3390337,3434930,3527267,3605043,3683161,3763121,3876587,3918502,3958871
North Dakota,270949,287946,292271,299123,306169,315753,331218,325505,330690,327555,334731
Ohio,4289333,4249698,4259642,4316260,4383642,4454047,4478867,4515268,4564251,4550274,4604398
Oklahoma,1348820,1339912,1363404,1384248,1420270,1419280,1435337,1428164,1435851,1466424,1476730
Oregon,1228105,1201995,1203016,1211498,1249678,1254586,1309993,1374404,1399966,1431100,1438719
Pennsylvania,4416654,4407079,4385476,4448025,4507420,4530736,4563666,4550927,4614474,4637243,4646438
Puerto Rico,901252,852851,849235,849901,835025,813825,821784,844468,820782,825434,861965
Rhode Island,402807,385519,402376,397042,405997,405692,402631,409729,414455,422704,427425
South Carolina,1608998,1614604,1612082,1657435,1712699,1751491,1780011,1829675,1849628,1876078,1934730
South Dakota,319424,315608,319833,331520,340605,344991,347078,343633,354488,363161,357493
Tennessee,2269814,2238380,2299715,2322135,2380225,2389964,2478421,2489612,2562137,2569224,2606405
Texas,8812987,8895756,9045425,9292439,9571029,9869007,10145748,10294898,10516631,10764273,10992403
Utah,957709,938550,953984,981257,993715,1023289,1057690,1088520,1131247,1146991,1205375
Vermont,236756,235473,235912,234408,237018,242073,246467,240282,238797,244457,246999
Virginia,2962941,2966482,3032187,3067222,3112188,3158348,3190412,3192485,3246194,3235570,3288926
Washington,2229703,2225031,2269757,2297264,2329647,2394643,2441853,2492872,2558090,2597102,2640727
West Virginia,608302,603452,599089,599271,602320,607615,597203,591965,589312,605626,599123
Wisconsin,2247979,2220560,2212588,2245736,2272376,2320974,2365593,2353462,2384007,2415610,2389929
Wyoming,213983,211869,222423,216595,224162,227488,223552,221126,217568,215701,214999
