state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,48426,55782,51126,50955,50055,57233,63757,68581,68872,71400,72440
Alaska,15398,18805,16875,19899,15371,13915,16095,18772,15984,18738,15141
Arizona,142062,150889,145782,148304,150347,161653,159681,189882,193915,214693,248326
Arkansas,42408,36259,40569,42667,34589,41375,38370,40509,47156,48766,46196
California,832146,824305,857352,865162,877833,930975,970039,1044550,1092887,1111955,1188387
Colorado,166093,155132,154954,168214,177620,174353,194904,223327,244103,253520,274765
Connecticut,69894,67215,72435,71540,75129,81594,84879,93131,91174,101519,100192
Delaware,13434,14762,15023,18567,15846,19287,20878,19662,22227,25739,23953
District of Columbia,15041,14870,14700,15129,14474,17012,21529,21761,27667,23199,28402
Florida,375151,362831,368113,404287,424181,465861,493307,547673,574506,596696,688324
Georgia,207333,198889,193640,201470,208445,219216,231968,264150,276462,288952,344309
Hawaii,28673,33658,29592,29476,29619,30505,32616,34947,30644,37933,33488
Idaho,34553,40257,41471,41017,38378,44352,45237,44115,44006,49341,61935
Illinois,232678,249207,238350,244042,250948,264383,268434,302177,298212,318593,336647
Indiana,94697,93626,90794,98314,98636,102249,109168,118057,133909,122285,139069
Iowa,75389,73164,69772,71929,64401,74447,64248,74833,81705,81306,91511
Kansas,59047,59886,59431,56326,55406,55940,59428,63638,67715,68255,74108
Kentucky,57071,65922,52732,56597,59761,60300,59739,71777,76840,79764,84882
Louisiana,48479,42109,41995,46945,47373,52360,56858,61808,66894,66932,79673
Maine,33810,32346,34355,33228,35944,34543,36488,37251,38973,39636,42015
Maryland,117152,122635,116524,121882,124944,122798,131975,144409,149679,158983,169488
Massachusetts,136360,133432,144432,137047,147491,163528,164032,180089,186344,188548,197999
Michigan,147582,143706,144120,153937,164515,159227,158838,180561,191015,189655,210233
Minnesota,131251,143802,139664,146228,135427,144022,157355,167431,171069,177705,190795
Mississippi,30737,28087,26321,28231,22785,27966,25115,27290,27835,32097,38426
Missouri,118973,112679,113846,120239,114179,121894,136530,148097,145557,138342,147564
Montana,27120,30112,27076,31067,28478,34875,29109,31581,33242,37575,33592
Nebraska,40074,39761,43461,46201,41789,39106,38329,43025,46876,50265,46436
Nevada,40832,43778,32812,37564,44378,41115,48105,57210,60284,59394,71251
New Hampshire,35560,39180,39774,39485,36720,41260,45424,44098,44508,48986,53022
New Jersey,162170,145441,155958,168645,166363,180018,175053,190604,201670,205170,217410
New Mexico,45097,41852,43413,39294,37815,41567,42276,44691,44128,44623,46093
New York,343814,347072,342221,349533,360333,361168,367645,400213,410013,421076,452559
North Carolina,180743,166510,197184,191369,196868,209085,227544,249964,291677,292946,331256
North Dakota,19728,18531,21193,20982,16917,20458,18103,20795,18763,14897,14593
Ohio,185761,180003,174825,178626,182681,193922,200420,234340,232684,243314,256463
Oklahoma,56214,68542,57193,55872,57224,61927,65232,74061,74603,73647,78947
Oregon,108863,108132,107180,104688,110334,113068,116484,125646,143707,148880,146587
Pennsylvania,211544,212107,220246,226703,227765,243453,252050,289740,300183,315322,333528
Puerto Rico,25986,25597,26402,21207,22680,18732,21900,24684,21251,22390,24892
Rhode Island,18045,15908,18530,18165,15751,19302,16928,21754,23654,19221,24228
South Carolina,76128,72437,73778,68210,68335,72724,80706,90439,105422,114984,120845
South Dakota,24581,21018,22698,24290,22385,24119,24970,23777,25509,27597,27394
Tennessee,91933,90494,89596,101618,100653,105862,111397,139052,150118,146837,179262
Texas,417500,453258,474951,455654,491120,494337,548949,618147,662408,693158,783512
Utah,60948,53014,57879,61813,67201,73746,77377,87136,101269,104279,117657
Vermont,22920,23357,19640,23193,21399,22667,19568,22197,22653,24206,22809
Virginia,157174,167035,176921,187750,182279,177271,190819,208849,226076,236778,247137
Washington,162613,162951,170119,175237,170293,180826,190433,203095,225756,238682,242446
West Virginia,25502,20446,22041,21171,22786,18556,23448,28911,23521,24893,28665
Wisconsin,115001,115359,119608,109393,114671,116946,119009,137512,145472,142881,150833
Wyoming,14467,13647,11864,15788,10777,14216,12136,16478,14773,17692,16007
