state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,8323,7964,9329,8096,9592,8276,6066,6334,7234,6983,8867
Alaska,4610,4034,6474,5746,6589,4703,5608,4381,5827,4382,3373
Arizona,56959,46829,52557,54614,64986,57615,59686,55372,55495,53718,55020
Arkansas,5129,6058,5271,5748,5803,4072,5791,4247,3788,5009,5291
California,839255,820349,827736,851099,889921,914442,923600,910353,919579,914825,970901
Colorado,81529,71917,77042,81980,86249,88355,80917,81991,92878,81665,96147
Connecticut,77276,76791,80026,82482,89137,84731,87516,88162,83460,79644,81154
Delaware,15491,12113,13588,10725,14919,12635,12104,11758,9598,9756,10923
District of Columbia,108046,113648,121460,125890,127045,123707,128135,130451,122643,130216,131786
Florida,148707,161012,167591,177143,175495,179401,195638,187114,162401,158654,156860
Georgia,105688,93624,89369,82974,89057,93277,104957,100028,102295,98172,98285
Hawaii,38192,43534,38627,45177,41171,49272,49270,47808,43263,40582,37672
Idaho,6716,5410,4638,5925,4840,5741,5905,4282,4859,6348,6457
Illinois,520515,494684,523820,506351,545633,568138,566654,573372,588347,582223,598757
Indiana,30202,27693,30410,33311,35244,32567,33240,31443,29104,29453,29628
Iowa,17563,16649,16498,16630,16983,16335,21648,17064,13667,16184,17810
Kansas,6124,7098,5127,7884,7063,6746,8983,7338,6101,6819,7225
Kentucky,22449,19654,20909,18673,19626,21516,21727,20925,20508,19302,19494
Louisiana,24562,27806,26094,24516,26568,28810,29758,25489,21422,23178,23798
Maine,4295,3067,4088,3597,4314,5210,4045,4232,3819,3987,4257
Maryland,248834,245628,262605,258280,268560,267211,271533,258950,259404,242247,246926
Massachusetts,304289,285330,287628,309147,328845,332765,364059,354611,366993,363460,379177
Michigan,54008,51549,58663,54893,65409,66746,58866,64250,58769,62919,65264
Minnesota,91099,92083,92526,89609,99296,102754,103498,103966,106880,103737,100645
Mississippi,4913,5079,4980,5266,5269,3180,3834,3700,3718,3048,3037
Missouri,40702,42305,38478,35244,44846,43256,44505,41004,36897,37161,33420
Montana,3845,3856,4126,4520,3249,5243,3774,3352,3997,3876,4758
Nebraska,5811,5299,6589,6142,7533,6375,7565,5806,6867,5579,8159
Nevada,37670,38895,41407,44047,41958,54406,48883,46044,43262,41741,44780
New Hampshire,3895,6098,5015,4522,6798,5109,6198,6346,5162,6431,6327
New Jersey,435062,439572,448002,435665,463204,470791,497417,509502,521066,514636,510746
New Mexico,9469,9950,9232,9839,9482,10934,8091,12460,9231,9533,9567
New York,2371336,2328724,2373132,2429897,2521815,2593733,2650013,2636851,2644978,2607925,2615708
North Carolina,42214,43004,49068,48895,49130,50467,50306,47899,46327,47231,55608
North Dakota,1096,2471,1456,1430,1680,2588,1497,2140,2137,2939,2870
Ohio,91891,84738,84582,80916,88393,90734,95698,86890,79760,87413,83924
Oklahoma,6931,8687,8434,7298,9039,7405,6912,8662,5737,8202,7609
Oregon,69653,70285,72478,70405,74883,82817,89224,82729,87100,84316,93903
Pennsylvania,303910,310436,303838,314681,327421,340499,338631,332072,323271,353633,353582
Puerto Rico,35804,27248,31256,27214,25706,27409,19081,18948,17286,17251,12130
Rhode Island,13901,13406,15625,15401,13420,15219,14844,12473,11452,11651,16475
South Carolina,12386,9729,12877,10356,14559,15263,10895,12255,11198,12747,13837
South Dakota,1897,2124,2902,2033,1256,2377,3455,2108,2956,1100,1578
Tennessee,22944,18928,25985,20847,21201,24552,24614,20698,19744,19267,19604
Texas,176212,168791,176090,189285,187969,197216,189234,183385,176746,176785,182144
Utah,30266,25757,30513,32473,30355,33991,37327,39200,34465,32863,39112
Vermont,2759,4172,4376,3781,3749,3585,4073,4914,4782,2776,5324
Virginia,168359,168554,174888,174525,176996,191066,194457,171640,175257,191112,186834
Washington,181767,167329,174346,185379,201096,209906,210545,220132,233203,255079,264698
West Virginia,6396,5179,6663,5356,5176,5410,7677,7880,6552,6188,5773
Wisconsin,53377,46031,54403,50384,55882,54465,55722,50825,51446,44332,50099
Wyoming,3901,4738,4417,4379,4455,4783,6353,4322,1651,3497,3251
