state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,1959883,1951769,1953274,1970822,1983610,2007426,2011723,2053191,2041619,2068020,2134022
Alaska,334556,343424,348777,356567,357776,359211,363075,362804,351282,355403,349811
Arizona,2752205,2621839,2650164,2721795,2754451,2831592,2899727,2992943,3086150,3174586,3276420
Arkansas,1222789,1225968,1215837,1233150,1223214,1249674,1253288,1264585,1281666,1301150,1313514
California,16145601,15921475,16047067,16432358,16745843,17254926,17633846,17926224,18320629,18530052,18730251
Colorado,2465357,2428102,2477748,2538793,2577184,2681200,2740368,2810263,2886978,2963212,3011612
Connecticut,1708011,1707618,1711088,1728325,1736156,1765420,1773121,1784936,1778000,1793019,1796247
Delaware,412892,404044,415063,421883,423542,434766,441183,439253,430780,452707,463907
District of Columbia,291083,296717,306801,326143,330087,343062,358150,362204,375380,378255,385878
Florida,7892572,7865975,7991880,8161313,8353263,8636223,8880102,9122419,9355081,9608687,9857575
Georgia,4289657,4118024,4154468,4213128,4291263,4421064,4555243,4681817,4782581,4891031,4958285
Hawaii,638154,657295,650062,670355,672446,685447,704914,708798,703939,707479,702060
Idaho,674773,669892,672900,697765,696905,714398,734911,753204,773999,794523,839211
Illinois,5918382,5792659,5820167,5927604,5973263,6043111,6094828,6129844,6129046,6191586,6204747
Indiana,2875125,2845206,2885033,2954205,2974599,3031672,3063590,3107122,3126324,3175022,3227470
Iowa,1525678,1513705,1513058,1530289,1547508,1565334,1574828,1583507,1597499,1588720,1589421
Kansas,1368759,1358914,1379532,1388601,1389013,1388575,1413917,1421443,1431057,1434639,1448010
Kentucky,1825471,1803377,1811467,1845659,1866676,1879141,1898550,1924064,1948608,1964958,1973550
Louisiana,1961548,1932178,1942076,1965689,1984437,1987108,2014335,1999699,2003496,1993979,2024266
Maine,636449,627588,631120,631826,629171,638497,636271,644442,657960,665930,668174
Maryland,2840465,2847946,2855500,2909794,2946590,2960073,3001281,3044986,3061440,3066434,3074208
Massachusetts,3231739,3151546,3216363,3273690,3326313,3396137,3450540,3504937,3526167,3558966,3637191
Michigan,4136395,4044769,4094528,4190898,4274964,4356081,4420474,4492590,4560646,4615506,4662155
Minnesota,2657698,2649994,2684968,2737424,2773626,2811291,2861003,2868581,2908771,2922866,2958990
Mississippi,1186525,1158617,1163676,1178427,1181081,1196527,1193907,1215225,1214929,1217480,1234933
Missouri,2751847,2706413,2705455,2734275,2773780,2769496,2852887,2863373,2881692,2890814,2915277
Montana,457865,459904,470715,475299,475287,488297,484043,496311,508613,514776,514545
Nebraska,920601,921395,931481,946684,954452,967636,974005,974207,996639,986223,1001268
Nevada,1202588,1184067,1191557,1216345,1246513,1279533,1314988,1356018,1402611,1426768,1461037
New Hampshire,678576,667506,671055,677232,677618,685701,696314,705515,712701,713985,723275
New Jersey,4098665,4054388,4060148,4113910,4166286,4281288,4285182,4328133,4409601,4397527,4421054
New Mexico,862556,857959,862821,865474,865357,872554,877360,877959,866572,875031,907965
New York,8906053,8723526,8774815,8916499,9024559,9169233,9276438,9291557,9427680,9310791,9434909
North Carolina,4152303,4119560,4183841,4263889,4348669,4431005,4524800,4626006,4780350,4858875,4937952
North Dakota,345194,359823,369454,376246,387697,388595,404165,406027,405145,398691,405490
Ohio,5165708,5070590,5114314,5183203,5241598,5330410,5381435,5435982,5476583,5524421,5589179
Oklahoma,1645352,1653574,1663962,1682277,1703568,1723902,1739806,1729489,1744677,1777259,1786689
Oregon,1705433,1665614,1674840,1700679,1745718,1779891,1839706,1899356,1953055,1994598,2011340
Pennsylvania,5749703,5723063,5728043,5810858,5867765,5930486,5977629,5977351,6056160,6136003,6179069
Puerto Rico,1156827,1077121,1060138,1053975,1026188,1010328,999029,1024738,978691,980796,1022871
Rhode Island,501342,479988,501044,503788,505361,505224,509823,510504,522214,519921,536938
South Carolina,1961234,1948160,1957707,1999706,2064944,2117951,2145374,2216858,2259936,2303417,2357976
South Dakota,412997,403672,410028,421018,427117,435818,430868,430172,436376,448044,448247
Tennessee,2720140,2676457,2738221,2777627,2837090,2865341,2954054,2979857,3079158,3092819,3178187
Texas,11074127,11145480,11336474,11608001,11939372,12275962,12556719,12783032,13051002,13337175,13715977
Utah,1258095,1210020,1246396,1296763,1307408,1345675,1394977,1435308,1486681,1514189,1583586
Vermont,316524,314463,317383,318829,314505,317172,320350,318010,318995,324340,324202
Virginia,3822714,3845626,3883249,3967188,4018400,4063553,4116194,4150512,4195387,4221015,4291816
Washington,3093139,3046571,3097398,3181100,3204510,3309730,3370945,3459806,3566785,3659614,3723697
West Virginia,744918,727598,729472,733687,738848,732360,721699,725750,711997,727427,730751
Wisconsin,2815316,2757982,2771411,2799940,2822070,2869683,2912061,2916599,2938890,2956937,2959481
Wyoming,277047,278970,286078,285940,290906,296201,289163,284386,279145,284573,279531
